Loaded 2636 card definitions.

Imported 41 meta deck(s): eb03-by-nami, eb03-five-elders, eb03-green-mihawk, eb03-py-rosinante, eb03-up-luffy, op15-br-ace, op15-by-nami, op15-foxy, op15-g-bonney, op15-g-zoro, op15-purple-doffy, op15-py-crocodile, op15-rg-luffy, op15-up-luffy, op15-y-luffy, op16-black-teach, op16-black-yamato, op16-blue-buggy, op16-blue-lucy, op16-boa-hancock, op16-br-ace, op16-br-koby, op16-g-bonney, op16-g-mihawk, op16-g-zoro, op16-gb-luffy, op16-gp-lim, op16-gp-luffy, op16-kalgara, op16-krieg, op16-luffy-n-ace, op16-moria, op16-p-enel, op16-py-rosinante, op16-rayleigh, op16-red-ace, op16-red-shanks, op16-sengoku, op16-up-luffy, op16-uy-nami, op16-yb-teach

Tournament 'tournament'  pop=64  gens=250  rounds/gen=8  games/pair=8
  meta decks=37  colors=[Black,Black/Yellow,Blue/Purple,Blue/Yellow,Green,Green/Purple,Purple,Purple/Yellow,Red,Red/Black,Red/Blue,Red/Green,Yellow]
  ~2,048 games/generation  (~512,000 total)

  gen  1: topElo=1536 meanElo=1500  topWR=69%  [MulliganKeep=3.38 FaceBias=0.65 CounterLifeFloor=4.98 CounterCharCost=2.48 BlockBias=0.07 TurnOrderFirst=0.71]
  gen 12: topElo=1587 meanElo=1483  topWR=53%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
  gen 13: topElo=1601 meanElo=1483  topWR=54%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
  gen 14: topElo=1605 meanElo=1484  topWR=55%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
  gen 15: topElo=1593 meanElo=1484  topWR=54%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
  gen 16: topElo=1598 meanElo=1484  topWR=54%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
  gen 17: topElo=1592 meanElo=1484  topWR=54%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
  gen 18: topElo=1590 meanElo=1484  topWR=54%  [MulliganKeep=3.74 FaceBias=0.70 CounterLifeFloor=4.56 CounterCharCost=5.78 BlockBias=0.83 TurnOrderFirst=0.67]
  gen 19: topElo=1596 meanElo=1483  topWR=54%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=0.75]
  gen 20: topElo=1586 meanElo=1483  topWR=52%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 21: topElo=1587 meanElo=1483  topWR=52%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 22: topElo=1590 meanElo=1484  topWR=54%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=0.75]
  gen 23: topElo=1609 meanElo=1486  topWR=54%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=0.75]
  gen 24: topElo=1603 meanElo=1485  topWR=54%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=0.75]
  gen 25: topElo=1596 meanElo=1486  topWR=54%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=0.75]
  gen 26: topElo=1592 meanElo=1486  topWR=53%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=0.75]
  gen 27: topElo=1620 meanElo=1486  topWR=53%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 28: topElo=1594 meanElo=1486  topWR=52%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 29: topElo=1596 meanElo=1486  topWR=52%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 30: topElo=1608 meanElo=1486  topWR=53%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 31: topElo=1606 meanElo=1486  topWR=53%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 32: topElo=1618 meanElo=1486  topWR=53%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 33: topElo=1600 meanElo=1487  topWR=53%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 34: topElo=1609 meanElo=1486  topWR=53%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 35: topElo=1600 meanElo=1486  topWR=52%  [MulliganKeep=4.00 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 36: topElo=1611 meanElo=1485  topWR=53%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 37: topElo=1606 meanElo=1485  topWR=53%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 38: topElo=1612 meanElo=1486  topWR=52%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.85 BlockBias=0.50 TurnOrderFirst=1.00]
  gen 39: topElo=1604 meanElo=1486  topWR=53%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 40: topElo=1619 meanElo=1488  topWR=53%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 41: topElo=1635 meanElo=1487  topWR=54%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 42: topElo=1617 meanElo=1487  topWR=53%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 43: topElo=1630 meanElo=1487  topWR=54%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 44: topElo=1632 meanElo=1488  topWR=54%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 45: topElo=1631 meanElo=1487  topWR=54%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=0.95 TurnOrderFirst=1.00]
  gen 46: topElo=1622 meanElo=1486  topWR=56%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 47: topElo=1634 meanElo=1487  topWR=56%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 48: topElo=1630 meanElo=1488  topWR=56%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 49: topElo=1631 meanElo=1488  topWR=56%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 50: topElo=1628 meanElo=1488  topWR=52%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.85 BlockBias=0.50 TurnOrderFirst=1.00]
  gen 51: topElo=1626 meanElo=1488  topWR=55%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 52: topElo=1632 meanElo=1487  topWR=55%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 53: topElo=1624 meanElo=1487  topWR=55%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 54: topElo=1628 meanElo=1488  topWR=55%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 55: topElo=1639 meanElo=1488  topWR=55%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 56: topElo=1625 meanElo=1488  topWR=54%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
  gen 57: topElo=1620 meanElo=1489  topWR=51%  [MulliganKeep=3.13 FaceBias=0.81 CounterLifeFloor=5.00 CounterCharCost=4.85 BlockBias=0.50 TurnOrderFirst=1.00]
  gen 58: topElo=1633 meanElo=1488  topWR=54%  [MulliganKeep=4.00 FaceBias=0.84 CounterLifeFloor=5.00 CounterCharCost=4.96 BlockBias=1.00 TurnOrderFirst=0.75]
